r1041	6335	20200634	t	y	10
i3479	6963	20200856	f	u	10
c6283	9962	20200592	u	r	10
l5827	2392	20201157	c	d	10
h1292	7422	20200753	s	u	10
b6447	4772	20200349	t	m	10
y8669	7036	20200963	d	l	10
i5325	7674	20200249	q	l	10
s2256	5548	20200649	m	h	10
j3039	8724	20200810	e	d	10
k4317	2191	20200814	n	g	10
x2266	7447	20200197	p	e	10
a7372	5007	20200719	s	x	10
x2631	4085	20200862	g	p	10
b5966	3932	20200442	t	o	10
x7628	5538	20200188	s	h	10
q5931	4834	20200733	o	i	10
f5706	3978	20200149	x	l	10
u6021	6925	20201109	u	e	10
x9779	5098	20200807	l	p	10
l1162	2356	20201159	f	y	10
c5031	7351	20200122	q	y	10
f5967	1108	20200938	h	m	10
m7458	7754	20200323	u	j	10
i6212	4222	20200625	w	v	10
f1509	6414	20201044	a	q	10
f1764	7411	20200815	y	m	10
i4550	7596	20200755	c	a	10
l2292	9375	20200960	v	x	10
s6201	4485	20200479	j	d	10
s2999	7939	20200227	n	c	10
d1467	4894	20201040	i	h	10
k3421	6618	20200334	o	j	10
k8616	7452	20200379	y	t	10
x5559	304	20200680	i	t	10
o6612	2703	20201038	k	s	10
x6344	1588	20201190	d	x	10
i8202	6619	20200359	v	x	10
o7282	799	20201014	h	w	10
n6624	2293	20200494	e	p	10
i3660	6192	20200723	n	g	10
c3512	2635	20200664	f	d	10
m5648	4887	20200912	i	t	10
t3144	1417	20200531	x	w	10
v1653	5700	20200271	b	r	10
a7391	713	20200443	k	d	10
l9871	4689	20201083	o	f	10
c8424	586	20200574	k	n	10
r5429	3758	20200901	h	t	10
v3154	7190	20200884	e	s	10
a2695	556	20200148	y	q	10
u1513	8061	20200368	d	o	10
e4424	5997	20200982	e	y	10
q9438	2950	20200294	u	w	10
l3418	6106	20200880	h	f	10
o8736	1702	20200934	v	l	10
n4264	4356	20200803	d	m	10
h2809	946	20201027	g	v	10
v2560	7983	20200582	t	v	10
e3224	2162	20201120	a	x	10
t2467	1660	20200426	o	d	10
e3026	9511	20200330	y	l	10
y9313	8023	20201140	s	m	10
i1906	7392	20200142	a	c	10
o5414	5825	20201210	y	w	10
i3161	8071	20200814	w	s	10
x9177	2271	20200735	s	r	10
c5986	8481	20201089	c	y	10
a4530	1544	20200896	x	w	10
g5062	1004	20200437	f	s	10
g5727	8493	20200243	w	l	10
a5065	9188	20200558	n	y	10
u6271	236	20200451	l	k	10
r1898	7286	20200232	p	t	10
y3695	8020	20201097	b	t	10
c5660	7372	20201116	d	s	10
j6853	1019	20200340	t	c	10
m3800	1061	20200898	k	h	10
p6173	9577	20200974	s	i	10
j8164	7883	20200252	p	m	10
y3580	2626	20200890	e	d	10
u8425	6903	20200386	x	v	10
l4737	196	20201014	o	k	10
q7202	5031	20200105	l	v	10
w7411	1154	20200170	p	y	10
n4191	4941	20200630	m	e	10
n4903	8959	20200744	p	h	10
a3478	6059	20200895	d	k	10
y2359	6478	20200693	n	m	10
a2803	4461	20201078	s	j	10
p2407	1112	20200580	k	g	10
a7072	8824	20201038	g	q	10
h2626	8527	20201039	m	v	10
l6871	2897	20200704	r	m	10
v4718	1586	20200433	x	e	10
p7231	6560	20201130	v	f	10
m4054	3585	20200481	e	w	10
t4459	2533	20200806	h	i	10
k1911	68	20200369	a	n	10
